Local time,Open,High,Low,Close,Volume
31.12.2023 23:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 00:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 01:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 02:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 03:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 04:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 05:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 06:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 07:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 08:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 09:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 10:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 11:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 12:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 13:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 14:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 15:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 16:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 17:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 18:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 19:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 20:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 21:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 22:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
01.01.2024 23:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
02.01.2024 00:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
02.01.2024 01:30:00.000 GMT+0330,37661.709,37661.709,37661.709,37661.709,0
02.01.2024 02:30:00.000 GMT+0330,37688.719,37742.749,37688.219,37722.759,0.048
02.01.2024 03:30:00.000 GMT+0330,37723.279,37731.499,37710.719,37716.759,0.0233
02.01.2024 04:30:00.000 GMT+0330,37717.699,37737.499,37698.759,37706.729,0.054
02.01.2024 05:30:00.000 GMT+0330,37707.739,37717.289,37704.769,37715.499,0.0294
02.01.2024 06:30:00.000 GMT+0330,37715.999,37724.249,37712.219,37721.759,0.0207
02.01.2024 07:30:00.000 GMT+0330,37721.219,37737.279,37718.699,37732.759,0.0172
02.01.2024 08:30:00.000 GMT+0330,37733.199,37753.269,37732.699,37739.239,0.0321
02.01.2024 09:30:00.000 GMT+0330,37739.719,37741.739,37724.249,37730.719,0.0335
02.01.2024 10:30:00.000 GMT+0330,37731.249,37758.289,37729.209,37742.279,0.0424
02.01.2024 11:30:00.000 GMT+0330,37743.299,37810.999,37743.299,37807.299,0.1008
02.01.2024 12:30:00.000 GMT+0330,37807.499,37807.499,37701.519,37709.299,0.0959
02.01.2024 13:30:00.000 GMT+0330,37709.519,37713.559,37667.029,37683.579,0.0817
02.01.2024 14:30:00.000 GMT+0330,37684.059,37685.069,37513.079,37546.549,0.1333
02.01.2024 15:30:00.000 GMT+0330,37546.999,37547.299,37462.579,37470.579,0.6035
02.01.2024 16:30:00.000 GMT+0330,37466.999,37515.099,37460.539,37479.539,0.6248
02.01.2024 17:30:00.000 GMT+0330,37479.059,37656.199,37457.059,37655.249,1.6732
02.01.2024 18:30:00.000 GMT+0330,37656.209,37718.299,37624.299,37694.799,1.9213
02.01.2024 19:30:00.000 GMT+0330,37694.239,37751.199,37662.769,37743.729,1.3568
02.01.2024 20:30:00.000 GMT+0330,37743.199,37793.259,37736.279,37764.259,1.2679
02.01.2024 21:30:00.000 GMT+0330,37763.769,37764.779,37688.759,37701.219,1.2416
02.01.2024 22:30:00.000 GMT+0330,37701.759,37707.249,37604.219,37604.499,1.2319
02.01.2024 23:30:00.000 GMT+0330,37604.709,37729.209,37581.199,37723.219,1.5433
03.01.2024 00:30:00.000 GMT+0330,37725.499,37733.289,37709.289,37719.739,0.1973
03.01.2024 01:30:00.000 GMT+0330,37719.739,37719.739,37719.739,37719.739,0
03.01.2024 02:30:00.000 GMT+0330,37731.109,37738.639,37714.149,37734.129,0.0326
03.01.2024 03:30:00.000 GMT+0330,37736.199,37736.199,37713.099,37719.179,0.0446
03.01.2024 04:30:00.000 GMT+0330,37719.639,37723.899,37711.109,37714.699,0.0677
03.01.2024 05:30:00.000 GMT+0330,37714.119,37718.669,37704.699,37709.199,0.0448
03.01.2024 06:30:00.000 GMT+0330,37708.639,37715.679,37699.119,37699.119,0.0395
03.01.2024 07:30:00.000 GMT+0330,37698.609,37705.399,37693.619,37695.669,0.0253
